FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51690,0,USVirginiaMartinsville,Virginia,Martinsville,2021-01-05 06:33:11.768763,2020-03-09 00:00:00.000000,0.00075023,0.00795540,0.02564072,0,0,3,0,0,1,0.00036031,0.00385664,0.01528487,0.37451909,0.54479944,0.77076216
51690,0,USVirginiaMartinsville,Virginia,Martinsville,2021-01-05 06:33:11.768763,2020-03-10 00:00:00.000000,0.00089239,0.00897984,0.02868395,0,1,3,0,0,1,0.00034409,0.00395814,0.01542364,0.37452504,0.54478233,0.77075479
51690,0,USVirginiaMartinsville,Virginia,Martinsville,2021-01-05 06:33:11.768763,2020-03-11 00:00:00.000000,0.00102692,0.01003932,0.03188381,0,1,4,0,0,2,0.00035624,0.00425883,0.01605113,0.37453822,0.54476093,0.77073918
51690,0,USVirginiaMartinsville,Virginia,Martinsville,2021-01-05 06:33:11.768763,2020-03-12 00:00:00.000000,0.00116111,0.01106747,0.03520940,0,1,4,0,0,2,0.00038624,0.00469426,0.01701136,0.37456741,0.54476077,0.77070583
51690,0,USVirginiaMartinsville,Virginia,Martinsville,2021-01-05 06:33:11.768763,2020-03-13 00:00:00.000000,0.00129983,0.01182503,0.03872629,0,1,4,0,0,2,0.00042807,0.00518723,0.01820837,0.37463199,0.54476037,0.77063272
51690,0,USVirginiaMartinsville,Virginia,Martinsville,2021-01-05 06:33:11.768763,2020-03-14 00:00:00.000000,0.00144647,0.01281369,0.04237250,0,1,5,0,0,2,0.00047839,0.00569994,0.01958440,0.37477473,0.54475930,0.77046005
51690,0,USVirginiaMartinsville,Virginia,Martinsville,2021-01-05 06:33:11.768763,2020-03-15 00:00:00.000000,0.00160326,0.01382267,0.04622333,0,1,5,0,0,2,0.00053545,0.00620219,0.02106416,0.37508935,0.54235835,0.76961185
51690,0,USVirginiaMartinsville,Virginia,Martinsville,2021-01-05 06:33:11.768763,2020-03-16 00:00:00.000000,0.00177115,0.01503715,0.05025396,0,1,6,0,0,2,0.00059845,0.00659366,0.02264771,0.37577851,0.53857949,0.76688329
51690,0,USVirginiaMartinsville,Virginia,Martinsville,2021-01-05 06:33:11.768763,2020-03-17 00:00:00.000000,0.00194882,0.01654794,0.05435279,0,2,6,0,0,3,0.00066701,0.00703197,0.02434092,0.37726759,0.53925501,0.75757815
51690,0,USVirginiaMartinsville,Virginia,Martinsville,2021-01-05 06:33:11.768763,2020-03-18 00:00:00.000000,0.00213162,0.01830322,0.05836868,0,2,7,0,0,3,0.00074072,0.00768524,0.02614113,0.38039187,0.53893374,0.73806867
