FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
53067,0,USWashingtonThurston,Washington,Thurston,2021-10-15 09:42:33.674937,2020-03-09 00:00:00.000000,0.00055412,0.00189974,0.00379714,1,5,11,0,2,4,0.00017658,0.00069385,0.00152490,0.37679013,0.55231322,0.69417868
53067,0,USWashingtonThurston,Washington,Thurston,2021-10-15 09:42:33.674937,2020-03-10 00:00:00.000000,0.00074276,0.00249936,0.00426320,2,7,12,0,2,4,0.00022031,0.00076683,0.00148268,0.37661925,0.55224215,0.69411629
53067,0,USWashingtonThurston,Washington,Thurston,2021-10-15 09:42:33.674937,2020-03-11 00:00:00.000000,0.00093817,0.00312345,0.00477171,2,9,13,0,2,4,0.00027999,0.00093626,0.00162345,0.37633044,0.55207182,0.69399078
53067,0,USWashingtonThurston,Washington,Thurston,2021-10-15 09:42:33.674937,2020-03-12 00:00:00.000000,0.00114947,0.00375168,0.00592840,3,10,17,1,3,5,0.00035367,0.00115093,0.00179391,0.37584348,0.55165881,0.69373856
53067,0,USWashingtonThurston,Washington,Thurston,2021-10-15 09:42:33.674937,2020-03-13 00:00:00.000000,0.00139139,0.00438904,0.00712895,4,12,20,1,4,6,0.00044375,0.00138959,0.00223120,0.37502560,0.55064513,0.69323295
53067,0,USWashingtonThurston,Washington,Thurston,2021-10-15 09:42:33.674937,2020-03-14 00:00:00.000000,0.00165275,0.00504732,0.00837378,4,14,24,1,4,8,0.00054577,0.00167087,0.00282994,0.37366078,0.54813325,0.69222495
53067,0,USWashingtonThurston,Washington,Thurston,2021-10-15 09:42:33.674937,2020-03-15 00:00:00.000000,0.00193617,0.00566563,0.00966335,5,16,28,1,5,10,0.00065730,0.00193969,0.00348920,0.37140740,0.54266867,0.69023804
53067,0,USWashingtonThurston,Washington,Thurston,2021-10-15 09:42:33.674937,2020-03-16 00:00:00.000000,0.00261600,0.00662305,0.01066591,7,19,30,2,6,12,0.00077622,0.00225927,0.00420657,0.36775038,0.53760406,0.68708840
53067,0,USWashingtonThurston,Washington,Thurston,2021-10-15 09:42:33.674937,2020-03-17 00:00:00.000000,0.00303910,0.00762628,0.01221618,8,22,35,2,7,14,0.00090101,0.00259034,0.00487416,0.36197439,0.52720860,0.67972149
53067,0,USWashingtonThurston,Washington,Thurston,2021-10-15 09:42:33.674937,2020-03-18 00:00:00.000000,0.00337970,0.00856060,0.01414464,9,24,41,2,8,16,0.00103087,0.00295440,0.00552435,0.35322808,0.51064852,0.66665246
