FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-09 00:00:00.000000,0.00251738,0.00956623,0.01898554,2,11,22,1,5,11,0.00131637,0.00475906,0.01000844,0.45012694,0.67709763,0.90180561
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-10 00:00:00.000000,0.00316284,0.01089573,0.02277602,3,12,27,1,5,12,0.00133612,0.00502518,0.01009149,0.45031641,0.67708733,0.90179565
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-11 00:00:00.000000,0.00380275,0.01236675,0.02527029,4,14,30,1,6,13,0.00146575,0.00546169,0.01092455,0.45076397,0.67707150,0.90177813
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-12 00:00:00.000000,0.00447644,0.01392135,0.02799850,5,16,33,1,7,14,0.00164769,0.00607663,0.01207489,0.45179388,0.67704713,0.90174732
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-13 00:00:00.000000,0.00510737,0.01557134,0.03097915,6,18,36,2,8,16,0.00188305,0.00684030,0.01362888,0.45402749,0.67700961,0.90169313
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-14 00:00:00.000000,0.00579234,0.01776525,0.03421769,6,21,40,2,9,18,0.00216311,0.00771960,0.01540898,0.45830131,0.67695168,0.90159776
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-15 00:00:00.000000,0.00655855,0.01979574,0.03778570,7,23,45,2,10,20,0.00248488,0.00861645,0.01738447,0.46494585,0.67686161,0.90142962
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-16 00:00:00.000000,0.00906934,0.02504536,0.04288145,10,29,51,3,11,23,0.00284909,0.00959865,0.01958796,0.47236180,0.66596373,0.90113147
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-17 00:00:00.000000,0.01112425,0.02987284,0.05103402,13,35,60,4,13,25,0.00347791,0.01126900,0.02133015,0.47813494,0.65483480,0.90059283
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-18 00:00:00.000000,0.01429989,0.03590983,0.05913117,17,42,70,5,15,28,0.00459453,0.01315648,0.02388156,0.48149383,0.64852989,0.89956218
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-19 00:00:00.000000,0.01765397,0.04244242,0.07131175,21,50,84,6,18,34,0.00533280,0.01578933,0.02870338,0.48055156,0.63445288,0.89726644
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-20 00:00:00.000000,0.02079099,0.04972274,0.08493175,24,59,101,8,22,38,0.00681529,0.01863420,0.03262511,0.45295432,0.62510180,0.86802409
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-21 00:00:00.000000,0.02435509,0.05715902,0.10020168,29,68,119,10,26,47,0.00858794,0.02186346,0.03950566,0.44217270,0.61505117,0.81543306
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-22 00:00:00.000000,0.02852085,0.06508477,0.11733808,33,77,139,12,30,56,0.01059926,0.02581922,0.04768338,0.44077287,0.60206940,0.81428483
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-23 00:00:00.000000,0.03585471,0.07340394,0.13285155,42,87,158,15,35,67,0.01286818,0.02981046,0.05695351,0.44053445,0.59180836,0.78632832
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-24 00:00:00.000000,0.04228620,0.08212033,0.15062969,50,97,179,18,40,78,0.01564506,0.03434245,0.06627103,0.39348422,0.57875766,0.77066503
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-25 00:00:00.000000,0.04929253,0.09234335,0.17028476,58,110,202,22,46,90,0.01882700,0.03882087,0.07605837,0.37335643,0.55598000,0.76700079
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-26 00:00:00.000000,0.05811368,0.10259970,0.19042760,69,122,226,26,52,103,0.02217146,0.04365054,0.08662351,0.36684770,0.54789625,0.74310701
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-27 00:00:00.000000,0.06745806,0.11318904,0.20794151,80,134,247,31,57,117,0.02620493,0.04816265,0.09819599,0.35267416,0.51726545,0.69784807
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-28 00:00:00.000000,0.07646029,0.12650493,0.22617162,91,150,269,35,62,132,0.02999668,0.05259957,0.11093308,0.33625496,0.49788432,0.68455110
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-29 00:00:00.000000,0.08360600,0.14064898,0.25418410,99,167,302,40,70,148,0.03424346,0.05886371,0.12491025,0.31454881,0.48577267,0.66304344
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-30 00:00:00.000000,0.09290429,0.15203576,0.28079052,110,181,334,46,78,161,0.03865311,0.06579595,0.13580579,0.29315112,0.46552987,0.65130811
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-03-31 00:00:00.000000,0.10082800,0.16319294,0.30823302,120,194,367,51,87,180,0.04300687,0.07332785,0.15146901,0.28662053,0.44245058,0.61653952
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-01 00:00:00.000000,0.10768710,0.17371318,0.33656033,128,207,401,57,95,200,0.04792389,0.07972959,0.16832975,0.28052184,0.42263079,0.59782698
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-02 00:00:00.000000,0.11473084,0.18587650,0.36533793,136,221,435,63,102,221,0.05330625,0.08600032,0.18569088,0.26634428,0.39960013,0.55670701
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-03 00:00:00.000000,0.12344442,0.19473744,0.39334601,147,232,468,67,110,239,0.05698949,0.09290857,0.20075786,0.24050152,0.38460047,0.54690670
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-04 00:00:00.000000,0.13186368,0.20532452,0.41942504,157,244,499,72,117,255,0.06067420,0.09835897,0.21452859,0.23052852,0.35253858,0.50182161
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-05 00:00:00.000000,0.13796711,0.21580476,0.43994328,164,257,524,76,124,271,0.06426099,0.10423322,0.22792336,0.22754808,0.33818772,0.45958266
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-06 00:00:00.000000,0.14363733,0.22587729,0.45908577,171,269,547,80,134,287,0.06764206,0.11246278,0.24111755,0.22737795,0.32427569,0.44508264
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-07 00:00:00.000000,0.14908087,0.23535335,0.47859816,177,280,570,84,144,302,0.07052588,0.12103536,0.25398029,0.22282849,0.31390928,0.43534360
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-08 00:00:00.000000,0.15430201,0.24508803,0.49795971,183,292,593,87,152,317,0.07308644,0.12832385,0.26666310,0.21430279,0.29873885,0.43014085
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-09 00:00:00.000000,0.15953719,0.25414311,0.51635082,190,302,615,90,160,332,0.07571257,0.13447039,0.27919329,0.20356873,0.28501754,0.41500237
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-10 00:00:00.000000,0.16522368,0.26051623,0.53304926,196,310,635,95,168,347,0.08030156,0.14143782,0.29145481,0.19237840,0.27506459,0.40689681
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-11 00:00:00.000000,0.17220615,0.26627588,0.54807995,205,317,653,101,175,361,0.08501426,0.14723951,0.30324777,0.18518823,0.26081547,0.39885631
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-12 00:00:00.000000,0.17645730,0.27248869,0.56208981,210,324,669,104,180,374,0.08804616,0.15150206,0.31443380,0.18117023,0.25261414,0.38977764
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-13 00:00:00.000000,0.18255113,0.27572071,0.57536172,217,328,685,108,185,387,0.09064648,0.15545751,0.32501558,0.17758467,0.24776829,0.36651074
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-14 00:00:00.000000,0.18863888,0.28039389,0.58860980,224,334,701,112,189,399,0.09401768,0.15914707,0.33504463,0.17413551,0.23639151,0.36599338
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-15 00:00:00.000000,0.19061627,0.28661707,0.60202108,227,341,717,115,193,410,0.09713212,0.16260801,0.34467040,0.17241151,0.23507645,0.35930506
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-16 00:00:00.000000,0.19482540,0.29528742,0.61570275,232,351,733,119,197,421,0.10006751,0.16589794,0.35403430,0.16748516,0.23647503,0.34986399
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-17 00:00:00.000000,0.19860889,0.30020749,0.62972671,236,357,750,122,201,432,0.10287449,0.16905449,0.36325707,0.16381394,0.22748032,0.34051900
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-18 00:00:00.000000,0.19883578,0.30798369,0.64414727,236,367,767,125,206,443,0.10498797,0.17295275,0.37237174,0.16266434,0.22725845,0.33366654
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-19 00:00:00.000000,0.19900561,0.31239288,0.65899742,237,372,785,127,210,454,0.10661827,0.17685088,0.38140333,0.16204957,0.22477264,0.33198905
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-20 00:00:00.000000,0.19749969,0.31902065,0.67438694,235,380,803,130,215,465,0.10951562,0.18051449,0.39052688,0.16125451,0.22148928,0.32913343
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-21 00:00:00.000000,0.19784463,0.32318210,0.69018510,235,385,822,132,219,476,0.11127004,0.18427837,0.39980871,0.16020446,0.22295011,0.32581040
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-22 00:00:00.000000,0.19913405,0.32649974,0.70635674,237,389,841,133,224,487,0.11200311,0.18823263,0.40927430,0.15887534,0.22151601,0.32216974
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-23 00:00:00.000000,0.20086105,0.33269704,0.72154431,239,396,859,134,228,499,0.11278786,0.19202650,0.41893529,0.15731125,0.21865764,0.31824933
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-24 00:00:00.000000,0.20282799,0.33636128,0.72657214,241,400,865,135,233,510,0.11366651,0.19556077,0.42879402,0.15642687,0.22140684,0.31429489
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-25 00:00:00.000000,0.20485717,0.34404496,0.72959285,244,410,869,136,236,522,0.11463183,0.19812926,0.43884923,0.15402304,0.22158927,0.31145605
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-26 00:00:00.000000,0.20696675,0.35177147,0.73118946,246,419,871,137,240,535,0.11566660,0.20163411,0.44910024,0.15236057,0.22717167,0.31676211
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-27 00:00:00.000000,0.21226028,0.35512500,0.73162645,252,423,871,139,243,547,0.11676272,0.20454890,0.45954489,0.15175509,0.22977929,0.30650326
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-28 00:00:00.000000,0.21785652,0.36292625,0.73146168,259,432,871,141,246,557,0.11851532,0.20703353,0.46743924,0.15349205,0.22782507,0.31911970
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-29 00:00:00.000000,0.22195999,0.37021183,0.73086563,264,441,870,143,249,558,0.12077574,0.20957677,0.46865948,0.16115299,0.22555949,0.31629756
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2021-01-29 17:21:10.772223,2020-04-30 00:00:00.000000,0.22516053,0.37385825,0.72993938,268,445,869,147,251,559,0.12349774,0.21115320,0.46930009,0.16925051,0.22637577,0.31187827
