FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
54107,0,USWestVirginiaWood,West Virginia,Wood,2021-11-24 06:01:55.969960,2020-03-09 00:00:00.000000,0.00042294,0.00346128,0.01043893,0,2,8,0,1,6,0.00024470,0.00187945,0.00748528,0.32612173,0.46372071,0.61763965
54107,0,USWestVirginiaWood,West Virginia,Wood,2021-11-24 06:01:55.969960,2020-03-10 00:00:00.000000,0.00048676,0.00396466,0.01118691,0,3,9,0,1,6,0.00025326,0.00192953,0.00728082,0.32612171,0.46368894,0.61763926
54107,0,USWestVirginiaWood,West Virginia,Wood,2021-11-24 06:01:55.969960,2020-03-11 00:00:00.000000,0.00055203,0.00429943,0.01197847,0,3,10,0,1,6,0.00027828,0.00208761,0.00738723,0.32612166,0.46363505,0.61763823
54107,0,USWestVirginiaWood,West Virginia,Wood,2021-11-24 06:01:55.969960,2020-03-12 00:00:00.000000,0.00061874,0.00450451,0.01282560,0,3,10,0,1,6,0.00031113,0.00232841,0.00767829,0.32612154,0.46354244,0.61763547
54107,0,USWestVirginiaWood,West Virginia,Wood,2021-11-24 06:01:55.969960,2020-03-13 00:00:00.000000,0.00068723,0.00487577,0.01401091,0,4,11,0,2,6,0.00034798,0.00257553,0.00808814,0.32612123,0.46337896,0.61762769
54107,0,USWestVirginiaWood,West Virginia,Wood,2021-11-24 06:01:55.969960,2020-03-14 00:00:00.000000,0.00075799,0.00539754,0.01532248,0,4,12,0,2,7,0.00038724,0.00277202,0.00858235,0.32612016,0.46307503,0.61760417
54107,0,USWestVirginiaWood,West Virginia,Wood,2021-11-24 06:01:55.969960,2020-03-15 00:00:00.000000,0.00083153,0.00578928,0.01674773,0,4,13,0,2,7,0.00042836,0.00292808,0.00914020,0.32611517,0.46245480,0.61752600
54107,0,USWestVirginiaWood,West Virginia,Wood,2021-11-24 06:01:55.969960,2020-03-16 00:00:00.000000,0.00182887,0.00778373,0.02150262,1,6,17,0,2,8,0.00047126,0.00312207,0.00973371,0.31294791,0.46117552,0.61724048
54107,0,USWestVirginiaWood,West Virginia,Wood,2021-11-24 06:01:55.969960,2020-03-17 00:00:00.000000,0.00252072,0.00949777,0.02635038,2,7,22,0,3,8,0.00071595,0.00373760,0.01062179,0.30499681,0.45581149,0.60771619
54107,0,USWestVirginiaWood,West Virginia,Wood,2021-11-24 06:01:55.969960,2020-03-18 00:00:00.000000,0.00326985,0.01092388,0.02962116,2,9,24,0,3,10,0.00106923,0.00470955,0.01263385,0.27934437,0.45240784,0.60173192
