FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55025,0,USWisconsinDane,Wisconsin,Dane,2021-12-08 10:47:32.685110,2020-03-09 00:00:00.000000,0.00279040,0.00759163,0.01411405,15,41,77,6,22,45,0.00125862,0.00409822,0.00829530,0.39894981,0.52408330,0.71816234
55025,0,USWisconsinDane,Wisconsin,Dane,2021-12-08 10:47:32.685110,2020-03-10 00:00:00.000000,0.00343874,0.00864776,0.01506589,18,47,82,8,23,46,0.00158714,0.00427840,0.00850624,0.39894630,0.52406488,0.71816234
55025,0,USWisconsinDane,Wisconsin,Dane,2021-12-08 10:47:32.685110,2020-03-11 00:00:00.000000,0.00416058,0.01015876,0.01672576,22,55,91,10,25,49,0.00185873,0.00468393,0.00908083,0.39894059,0.52403375,0.71816234
55025,0,USWisconsinDane,Wisconsin,Dane,2021-12-08 10:47:32.685110,2020-03-12 00:00:00.000000,0.00489826,0.01171339,0.01858800,26,64,101,12,29,52,0.00222471,0.00534564,0.00965433,0.39893014,0.52397927,0.71816232
55025,0,USWisconsinDane,Wisconsin,Dane,2021-12-08 10:47:32.685110,2020-03-13 00:00:00.000000,0.00561304,0.01328355,0.02139864,30,72,116,14,33,58,0.00266540,0.00604477,0.01078528,0.39890742,0.52327463,0.71816213
55025,0,USWisconsinDane,Wisconsin,Dane,2021-12-08 10:47:32.685110,2020-03-14 00:00:00.000000,0.00640583,0.01491098,0.02443916,35,81,133,17,37,65,0.00317829,0.00689749,0.01204787,0.39884833,0.51965170,0.71816040
55025,0,USWisconsinDane,Wisconsin,Dane,2021-12-08 10:47:32.685110,2020-03-15 00:00:00.000000,0.00722141,0.01671951,0.02766207,39,91,151,19,42,73,0.00360477,0.00771568,0.01344095,0.39867279,0.51642835,0.71814466
55025,0,USWisconsinDane,Wisconsin,Dane,2021-12-08 10:47:32.685110,2020-03-16 00:00:00.000000,0.00865819,0.01866680,0.02977252,47,102,162,21,47,82,0.00399893,0.00863886,0.01507572,0.39811154,0.51599178,0.71451753
55025,0,USWisconsinDane,Wisconsin,Dane,2021-12-08 10:47:32.685110,2020-03-17 00:00:00.000000,0.01046033,0.02017192,0.03206676,57,110,175,25,53,90,0.00474006,0.00973285,0.01662688,0.39190482,0.51432596,0.67278230
55025,0,USWisconsinDane,Wisconsin,Dane,2021-12-08 10:47:32.685110,2020-03-18 00:00:00.000000,0.01231202,0.02182680,0.03445504,67,119,188,30,59,100,0.00566752,0.01089847,0.01831980,0.38888084,0.50613996,0.66614518
55025,0,USWisconsinDane,Wisconsin,Dane,2021-12-08 10:47:32.685110,2020-03-19 00:00:00.000000,0.01401113,0.02386064,0.03762450,76,130,205,36,66,109,0.00667947,0.01223470,0.02002102,0.37105237,0.47649494,0.65293925
55025,0,USWisconsinDane,Wisconsin,Dane,2021-12-08 10:47:32.685110,2020-03-20 00:00:00.000000,0.01540199,0.02620988,0.04135667,84,143,226,42,72,118,0.00781544,0.01329732,0.02158739,0.34291736,0.44808741,0.62361067
55025,0,USWisconsinDane,Wisconsin,Dane,2021-12-08 10:47:32.685110,2020-03-21 00:00:00.000000,0.01674301,0.02821024,0.04465942,91,154,244,47,78,125,0.00874751,0.01444699,0.02300066,0.31719013,0.41345089,0.57461136
55025,0,USWisconsinDane,Wisconsin,Dane,2021-12-08 10:47:32.685110,2020-03-22 00:00:00.000000,0.01808471,0.03011193,0.04731203,98,164,258,54,85,132,0.00992433,0.01560449,0.02430931,0.28877594,0.38520380,0.52457041
