FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55039,0,USWisconsinFondduLac,Wisconsin,Fond du Lac,2021-09-17 05:42:43.833953,2020-03-09 00:00:00.000000,0.00097587,0.00456937,0.01286926,1,4,13,0,2,7,0.00029045,0.00197643,0.00702592,0.35184940,0.45239260,0.64386634
55039,0,USWisconsinFondduLac,Wisconsin,Fond du Lac,2021-09-17 05:42:43.833953,2020-03-10 00:00:00.000000,0.00142610,0.00600925,0.01442777,1,6,14,0,2,7,0.00037474,0.00230432,0.00724025,0.35184939,0.45239110,0.64380734
55039,0,USWisconsinFondduLac,Wisconsin,Fond du Lac,2021-09-17 05:42:43.833953,2020-03-11 00:00:00.000000,0.00195489,0.00734378,0.01595540,2,7,16,0,2,7,0.00058820,0.00268847,0.00759624,0.35184938,0.45238757,0.64275693
55039,0,USWisconsinFondduLac,Wisconsin,Fond du Lac,2021-09-17 05:42:43.833953,2020-03-12 00:00:00.000000,0.00258002,0.00885492,0.01803539,2,9,18,0,3,8,0.00075918,0.00328650,0.00858300,0.35184932,0.45237878,0.63978924
55039,0,USWisconsinFondduLac,Wisconsin,Fond du Lac,2021-09-17 05:42:43.833953,2020-03-13 00:00:00.000000,0.00326539,0.01047488,0.02056633,3,10,21,0,4,10,0.00095747,0.00411010,0.00990446,0.35184902,0.45235594,0.63516704
55039,0,USWisconsinFondduLac,Wisconsin,Fond du Lac,2021-09-17 05:42:43.833953,2020-03-14 00:00:00.000000,0.00402019,0.01201916,0.02330689,4,12,24,1,5,11,0.00124891,0.00505237,0.01134061,0.35184733,0.45118657,0.62809186
55039,0,USWisconsinFondduLac,Wisconsin,Fond du Lac,2021-09-17 05:42:43.833953,2020-03-15 00:00:00.000000,0.00485220,0.01345486,0.02592396,5,13,26,1,6,12,0.00160245,0.00587574,0.01218791,0.35183726,0.45086147,0.62264456
55039,0,USWisconsinFondduLac,Wisconsin,Fond du Lac,2021-09-17 05:42:43.833953,2020-03-16 00:00:00.000000,0.00618938,0.01546593,0.02810675,6,15,29,2,6,13,0.00199825,0.00675373,0.01346324,0.35177563,0.44942716,0.62061256
55039,0,USWisconsinFondduLac,Wisconsin,Fond du Lac,2021-09-17 05:42:43.833953,2020-03-17 00:00:00.000000,0.00755180,0.01795929,0.03146681,7,18,32,2,7,15,0.00251729,0.00764828,0.01514438,0.34296641,0.43945242,0.61504623
55039,0,USWisconsinFondduLac,Wisconsin,Fond du Lac,2021-09-17 05:42:43.833953,2020-03-18 00:00:00.000000,0.00883843,0.02038458,0.03474295,9,21,35,3,9,17,0.00313702,0.00904553,0.01689110,0.31748651,0.43018210,0.60047513
55039,0,USWisconsinFondduLac,Wisconsin,Fond du Lac,2021-09-17 05:42:43.833953,2020-03-19 00:00:00.000000,0.00982609,0.02346550,0.03991099,10,24,41,3,10,19,0.00383649,0.01041605,0.01872440,0.27432072,0.41274349,0.56658687
55039,0,USWisconsinFondduLac,Wisconsin,Fond du Lac,2021-09-17 05:42:43.833953,2020-03-20 00:00:00.000000,0.01085949,0.02675084,0.04535838,11,27,46,4,12,21,0.00460246,0.01180800,0.02102426,0.26461514,0.38908907,0.54431662
