FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55097,0,USWisconsinPortage,Wisconsin,Portage,2021-01-20 15:44:58.176747,2020-03-09 00:00:00.000000,0.00041131,0.00288724,0.01171241,0,2,8,0,1,4,0.00020460,0.00166597,0.00666550,0.34991179,0.50308543,0.74950034
55097,0,USWisconsinPortage,Wisconsin,Portage,2021-01-20 15:44:58.176747,2020-03-10 00:00:00.000000,0.00047991,0.00316687,0.01283325,0,2,9,0,1,4,0.00021916,0.00166087,0.00663942,0.34991187,0.50303654,0.74949657
55097,0,USWisconsinPortage,Wisconsin,Portage,2021-01-20 15:44:58.176747,2020-03-11 00:00:00.000000,0.00055278,0.00345500,0.01396712,0,2,9,0,1,4,0.00024429,0.00169352,0.00681071,0.34991274,0.50296803,0.74948394
55097,0,USWisconsinPortage,Wisconsin,Portage,2021-01-20 15:44:58.176747,2020-03-12 00:00:00.000000,0.00063258,0.00382529,0.01513919,0,2,10,0,1,4,0.00027702,0.00182568,0.00690127,0.34991530,0.50287205,0.74943877
55097,0,USWisconsinPortage,Wisconsin,Portage,2021-01-20 15:44:58.176747,2020-03-13 00:00:00.000000,0.00072138,0.00418245,0.01636827,0,2,11,0,1,4,0.00031604,0.00196059,0.00705251,0.34992118,0.50273759,0.74927244
55097,0,USWisconsinPortage,Wisconsin,Portage,2021-01-20 15:44:58.176747,2020-03-14 00:00:00.000000,0.00082103,0.00457179,0.01766876,0,3,12,0,1,5,0.00036103,0.00210121,0.00752531,0.34993320,0.50254888,0.74865412
55097,0,USWisconsinPortage,Wisconsin,Portage,2021-01-20 15:44:58.176747,2020-03-15 00:00:00.000000,0.00093336,0.00503745,0.01904951,0,3,13,0,1,5,0.00041221,0.00227770,0.00806371,0.34996234,0.50228249,0.74636303
55097,0,USWisconsinPortage,Wisconsin,Portage,2021-01-20 15:44:58.176747,2020-03-16 00:00:00.000000,0.00196425,0.00670543,0.02159672,1,4,15,0,1,6,0.00047011,0.00245520,0.00866090,0.35002870,0.50078086,0.73810066
55097,0,USWisconsinPortage,Wisconsin,Portage,2021-01-20 15:44:58.176747,2020-03-17 00:00:00.000000,0.00304763,0.00878237,0.02406943,2,6,17,0,2,6,0.00075356,0.00298548,0.00947300,0.33123855,0.49056107,0.71919553
55097,0,USWisconsinPortage,Wisconsin,Portage,2021-01-20 15:44:58.176747,2020-03-18 00:00:00.000000,0.00423266,0.01039911,0.02615526,2,7,18,0,2,7,0.00110883,0.00363983,0.01043173,0.32273524,0.47607591,0.71914487
