FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-09 00:00:00.000000,0.00214425,0.00472166,0.00965435,1,3,6,0,1,2,0.00046717,0.00158836,0.00445141,0.37620880,0.49728809,0.63944364
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-10 00:00:00.000000,0.00296986,0.00657137,0.01252851,1,4,8,0,1,3,0.00080113,0.00195017,0.00471888,0.37619253,0.49725497,0.63929942
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-11 00:00:00.000000,0.00364833,0.00843123,0.01489368,2,5,9,0,1,3,0.00123543,0.00267557,0.00540285,0.37617045,0.49719418,0.63900046
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-12 00:00:00.000000,0.00437150,0.01050995,0.01954725,2,6,12,1,2,4,0.00160396,0.00335569,0.00641408,0.37613921,0.49708260,0.63838141
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-13 00:00:00.000000,0.00514499,0.01288003,0.02445430,3,8,15,1,2,5,0.00199968,0.00434896,0.00805665,0.37611736,0.49530805,0.63710276
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-14 00:00:00.000000,0.00597146,0.01545506,0.02956534,3,9,19,1,3,6,0.00237811,0.00531317,0.00993704,0.37491186,0.49337424,0.63447510
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-15 00:00:00.000000,0.00684750,0.01757939,0.03432416,4,11,22,1,4,7,0.00279614,0.00650726,0.01204532,0.36641998,0.49269072,0.62913062
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-16 00:00:00.000000,0.00820569,0.02107195,0.03780995,5,13,24,2,5,9,0.00325040,0.00789540,0.01438797,0.34489844,0.49020631,0.62902261
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-17 00:00:00.000000,0.00959760,0.02384982,0.04308478,6,15,27,2,5,10,0.00382684,0.00930546,0.01687154,0.28451648,0.48379896,0.62705272
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-18 00:00:00.000000,0.01183838,0.02656848,0.04983735,7,17,32,2,6,12,0.00448759,0.01067137,0.01953053,0.26691256,0.47180311,0.62117940
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-19 00:00:00.000000,0.01432633,0.02930716,0.05645565,9,18,36,3,7,14,0.00520577,0.01220124,0.02327168,0.26423118,0.45785193,0.61490569
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-20 00:00:00.000000,0.01683779,0.03272533,0.06233865,10,21,40,3,8,17,0.00617783,0.01372403,0.02715995,0.26386197,0.42886665,0.58424722
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-21 00:00:00.000000,0.01785667,0.03627154,0.06909110,11,23,44,4,9,19,0.00743843,0.01541550,0.03010789,0.26380509,0.40007749,0.54949510
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-22 00:00:00.000000,0.01865098,0.03949012,0.07603710,12,25,48,5,11,21,0.00872502,0.01727401,0.03324909,0.25814971,0.36596515,0.50335789
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-23 00:00:00.000000,0.02213421,0.04345344,0.08023471,14,28,51,6,12,23,0.00979415,0.01887521,0.03650777,0.24981124,0.34691980,0.48030303
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-24 00:00:00.000000,0.02562602,0.04871672,0.08632420,16,31,55,6,13,25,0.01067417,0.02064352,0.03963197,0.24869749,0.33699180,0.47103163
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-25 00:00:00.000000,0.02911688,0.05347058,0.09326723,18,34,60,8,14,27,0.01262534,0.02290123,0.04310712,0.24296678,0.32863586,0.45054643
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-26 00:00:00.000000,0.03168300,0.05731068,0.10045177,20,36,64,9,16,30,0.01433684,0.02512733,0.04667226,0.23358618,0.31595696,0.44976942
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-27 00:00:00.000000,0.03338892,0.06073020,0.10781599,21,39,69,10,17,32,0.01618543,0.02791407,0.04995201,0.21792941,0.29753067,0.42499002
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-28 00:00:00.000000,0.03504110,0.06476097,0.11505041,22,41,74,11,19,34,0.01745445,0.02976655,0.05286248,0.19974584,0.28546117,0.39911718
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-29 00:00:00.000000,0.03801403,0.06795957,0.12153634,24,43,78,11,20,35,0.01840030,0.03146272,0.05581924,0.18374626,0.27539399,0.38842163
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-30 00:00:00.000000,0.04288965,0.07256196,0.12589131,27,46,81,12,21,38,0.01933832,0.03309186,0.05934137,0.17297994,0.25718617,0.36896415
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-03-31 00:00:00.000000,0.04346387,0.07617650,0.12924001,28,49,83,13,22,40,0.02150388,0.03567033,0.06282809,0.16552713,0.24241950,0.36374454
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-01 00:00:00.000000,0.04558363,0.07948764,0.13424225,29,51,86,15,24,42,0.02340991,0.03799337,0.06598495,0.16164812,0.23858515,0.35509716
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-02 00:00:00.000000,0.04862432,0.08250456,0.13845897,31,53,89,15,25,44,0.02455589,0.04000676,0.06927335,0.15836538,0.23408485,0.34640457
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-03 00:00:00.000000,0.04994132,0.08472948,0.14267841,32,54,91,16,27,46,0.02527119,0.04201174,0.07266041,0.15324793,0.22848252,0.33842484
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-04 00:00:00.000000,0.05093537,0.08639019,0.14810641,32,55,95,17,28,48,0.02649585,0.04409333,0.07603125,0.14658261,0.22311808,0.32932327
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-05 00:00:00.000000,0.05186640,0.08861108,0.15378173,33,57,99,17,29,50,0.02728715,0.04593618,0.07782409,0.14044184,0.21460203,0.31799509
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-06 00:00:00.000000,0.05122016,0.09088001,0.15897641,33,58,102,18,30,51,0.02797763,0.04772414,0.07915692,0.13636156,0.20986980,0.31283255
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-07 00:00:00.000000,0.05252605,0.09358000,0.16404193,33,60,105,18,31,52,0.02838032,0.04876247,0.08168959,0.13412431,0.20417000,0.30656972
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-08 00:00:00.000000,0.05522900,0.09645882,0.16900921,35,62,108,18,31,54,0.02859342,0.04959566,0.08422933,0.13281479,0.20034576,0.29443485
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-09 00:00:00.000000,0.05494296,0.09906054,0.17387047,35,63,112,18,32,55,0.02890526,0.05115638,0.08675214,0.13158947,0.19829783,0.29029890
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-10 00:00:00.000000,0.05462725,0.09914635,0.17828001,35,63,114,18,33,57,0.02859007,0.05239102,0.08925024,0.12977859,0.19329280,0.28476684
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-11 00:00:00.000000,0.05429831,0.09957123,0.18132263,34,64,116,18,34,59,0.02847275,0.05351227,0.09171811,0.12697601,0.17951438,0.27567378
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-12 00:00:00.000000,0.05395814,0.10054056,0.18974783,34,64,122,18,35,60,0.02832335,0.05451645,0.09413361,0.12285235,0.17586810,0.27016054
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-13 00:00:00.000000,0.05426409,0.10496046,0.19195153,34,67,123,18,35,62,0.02815720,0.05519180,0.09645615,0.11952085,0.16992718,0.25824356
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-14 00:00:00.000000,0.05781363,0.10514662,0.19463229,37,67,125,18,35,64,0.02811622,0.05532630,0.09956940,0.11909753,0.16891126,0.24351542
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-15 00:00:00.000000,0.06277326,0.10445802,0.19829531,40,67,127,18,36,66,0.02879734,0.05682706,0.10327428,0.11864465,0.16732660,0.23436536
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-16 00:00:00.000000,0.06771459,0.10487442,0.20024410,43,67,129,19,37,65,0.03085439,0.05772407,0.10238487,0.11777514,0.16625919,0.22984567
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-17 00:00:00.000000,0.06787268,0.10726447,0.20158938,43,69,129,21,37,67,0.03315900,0.05866284,0.10441599,0.11719216,0.16410405,0.22594465
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-18 00:00:00.000000,0.06702945,0.10839159,0.20247250,43,69,130,22,38,68,0.03560271,0.05972746,0.10626945,0.11392039,0.15955075,0.21221563
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-19 00:00:00.000000,0.06603904,0.10823087,0.20302678,42,69,130,24,38,69,0.03732289,0.06037872,0.10772202,0.11511547,0.15693056,0.21178236
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-20 00:00:00.000000,0.06472533,0.10933350,0.20074502,41,70,129,23,39,70,0.03685646,0.06089017,0.10884042,0.11505702,0.15446716,0.21160197
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-21 00:00:00.000000,0.06328775,0.11014402,0.19770731,40,70,127,23,39,70,0.03626317,0.06145416,0.10880739,0.11209837,0.15200875,0.21151369
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-22 00:00:00.000000,0.06177857,0.11118505,0.19420672,39,71,125,22,39,69,0.03556914,0.06190222,0.10826051,0.10739357,0.14857325,0.21135692
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-23 00:00:00.000000,0.06025423,0.11214314,0.19001830,38,72,122,22,39,69,0.03480531,0.06190958,0.10745840,0.10529089,0.14513820,0.21026744
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-24 00:00:00.000000,0.05875442,0.11362747,0.18503216,37,73,119,21,40,68,0.03400284,0.06239943,0.10645379,0.10272620,0.14224017,0.20710438
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-25 00:00:00.000000,0.05730816,0.11376338,0.18619752,36,73,119,21,40,67,0.03318832,0.06238427,0.10523759,0.09941152,0.13885411,0.20263032
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-26 00:00:00.000000,0.05594338,0.11289926,0.18522930,36,72,119,20,40,66,0.03238298,0.06238013,0.10383149,0.09792910,0.13620786,0.19882831
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-27 00:00:00.000000,0.05417120,0.11180340,0.18208363,34,72,117,20,40,66,0.03160505,0.06290997,0.10365232,0.09775589,0.13423373,0.19680990
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-28 00:00:00.000000,0.05288428,0.11055559,0.17875328,34,71,115,19,40,66,0.03073113,0.06296030,0.10338763,0.09360860,0.13231537,0.18660060
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-29 00:00:00.000000,0.05334512,0.11042277,0.17664100,34,71,113,19,40,65,0.02982961,0.06291734,0.10194300,0.09294409,0.13072168,0.18926208
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-04-30 00:00:00.000000,0.05387285,0.10835726,0.17503839,34,69,112,18,40,64,0.02894195,0.06232541,0.10026496,0.09599555,0.12622438,0.19409873
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-01 00:00:00.000000,0.05447458,0.10650398,0.17288047,35,68,111,18,39,63,0.02832210,0.06160075,0.09841285,0.09637315,0.12271466,0.19499313
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-02 00:00:00.000000,0.05518666,0.10532489,0.16868892,35,67,108,18,40,62,0.02892942,0.06251886,0.09635693,0.08971119,0.12043735,0.18816411
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-03 00:00:00.000000,0.05599936,0.10409196,0.17008922,36,67,109,19,39,60,0.02955596,0.06202262,0.09446100,0.08655447,0.11915540,0.18725674
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-04 00:00:00.000000,0.05481306,0.10300648,0.16794462,35,66,108,19,39,60,0.03018727,0.06103388,0.09373325,0.08289248,0.12099743,0.19757772
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-05 00:00:00.000000,0.05469965,0.10134653,0.16563621,35,65,106,19,39,60,0.03072115,0.06067059,0.09430339,0.07929182,0.12298642,0.20147556
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-06 00:00:00.000000,0.05414930,0.10116353,0.16313977,34,65,105,20,38,60,0.03119101,0.05992847,0.09421176,0.07918185,0.12396375,0.18792900
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-07 00:00:00.000000,0.05366692,0.10132775,0.16057781,34,65,103,20,38,60,0.03161959,0.05914099,0.09404569,0.07898125,0.12355339,0.17286347
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-08 00:00:00.000000,0.05324273,0.10127112,0.15810796,34,65,101,20,37,60,0.03202470,0.05837346,0.09330062,0.07873133,0.12285927,0.17207848
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-09 00:00:00.000000,0.05289495,0.10081344,0.15645833,34,64,100,20,36,59,0.03227432,0.05681179,0.09232807,0.07844107,0.12235015,0.17752030
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-10 00:00:00.000000,0.05262611,0.10018909,0.16068067,33,64,103,20,36,58,0.03169795,0.05648302,0.09125632,0.07653254,0.11911283,0.18490473
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-11 00:00:00.000000,0.05257609,0.09911051,0.16187109,33,63,104,19,36,58,0.03020855,0.05691022,0.09016787,0.07700010,0.12119224,0.19220200
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-12 00:00:00.000000,0.05160802,0.09787029,0.16263872,33,63,104,18,36,59,0.02908229,0.05630712,0.09165746,0.07716828,0.12001260,0.19371320
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-13 00:00:00.000000,0.05006466,0.09569623,0.16296852,32,61,105,18,35,59,0.02824646,0.05527759,0.09295801,0.07776903,0.12017488,0.19095303
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-14 00:00:00.000000,0.04849110,0.09292615,0.16299402,31,59,105,17,35,60,0.02764133,0.05460064,0.09386270,0.07844527,0.12008619,0.18614907
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-15 00:00:00.000000,0.04915271,0.09146610,0.16282283,31,58,104,17,34,60,0.02721706,0.05394732,0.09446634,0.07889745,0.12227681,0.18155756
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-16 00:00:00.000000,0.04843497,0.08900224,0.16244627,31,57,104,17,33,61,0.02676116,0.05275239,0.09483634,0.07943559,0.12352301,0.18651166
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-17 00:00:00.000000,0.04683262,0.08644983,0.16184597,30,55,104,17,33,61,0.02677602,0.05180561,0.09501349,0.08001094,0.12505678,0.19829107
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-18 00:00:00.000000,0.04581744,0.08625859,0.15498417,29,55,99,17,32,61,0.02670348,0.05104384,0.09501916,0.08014976,0.12672983,0.20280812
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-19 00:00:00.000000,0.04528112,0.08626705,0.14799026,29,55,95,16,32,60,0.02578898,0.05008998,0.09355048,0.08023603,0.12575679,0.21317868
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-20 00:00:00.000000,0.04489210,0.08536034,0.14484259,28,55,93,16,32,58,0.02568703,0.05001271,0.09107988,0.08029274,0.12823832,0.21102608
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-21 00:00:00.000000,0.04459319,0.08510266,0.14499544,28,54,93,16,31,56,0.02567284,0.04961110,0.08797930,0.08033988,0.12836418,0.19379906
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-22 00:00:00.000000,0.04436420,0.08411745,0.14509901,28,54,93,16,31,54,0.02569188,0.04843104,0.08451179,0.08040009,0.12785856,0.19937684
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-23 00:00:00.000000,0.04429491,0.08458906,0.14505219,28,54,93,16,30,52,0.02581645,0.04803377,0.08091128,0.08543803,0.12808429,0.21111588
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-24 00:00:00.000000,0.04459011,0.08572551,0.14467795,28,55,93,16,30,49,0.02606042,0.04733635,0.07740222,0.08809148,0.13123130,0.21261115
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-25 00:00:00.000000,0.04507539,0.08505061,0.14172751,29,54,91,17,30,49,0.02639805,0.04729575,0.07612131,0.08975141,0.13182488,0.21771343
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-26 00:00:00.000000,0.04496237,0.08351727,0.14048806,28,53,90,16,30,48,0.02636493,0.04762062,0.07600002,0.09610616,0.13793202,0.21898342
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-27 00:00:00.000000,0.04496893,0.08421196,0.14276273,28,54,91,17,30,49,0.02653331,0.04737504,0.07635425,0.09937437,0.13935962,0.22026194
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-28 00:00:00.000000,0.04514500,0.08599509,0.14499208,29,55,93,17,30,49,0.02641944,0.04798326,0.07637078,0.10030227,0.14748681,0.22040758
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-29 00:00:00.000000,0.04557600,0.08682765,0.15504648,29,55,99,16,31,49,0.02594208,0.04832647,0.07732282,0.10209191,0.15395503,0.21688593
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-30 00:00:00.000000,0.04629814,0.08721339,0.16726917,29,56,107,16,31,50,0.02553327,0.04816755,0.07848854,0.10488236,0.16047122,0.21217421
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-05-31 00:00:00.000000,0.04723990,0.08781045,0.17903342,30,56,115,16,31,51,0.02562876,0.04881183,0.07966248,0.11127061,0.16227048,0.23011132
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-06-01 00:00:00.000000,0.04745228,0.08947272,0.17621859,30,57,113,16,31,54,0.02536427,0.04853077,0.08432385,0.11982337,0.16622636,0.24379501
55111,0,USWisconsinSauk,Wisconsin,Sauk,2021-09-17 06:55:10.554236,2020-06-02 00:00:00.000000,0.04771687,0.08925632,0.17300462,30,57,111,16,31,56,0.02541136,0.04852750,0.08793901,0.12077645,0.16979892,0.24726625
