FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,UnitedKingdomBritishVirginIslands,British Virgin Islands,,2021-11-24 00:54:02.725048,2020-03-09 00:00:00.000000,0.00229641,0.00886596,0.04946296,0,2,14,0,1,8,0.00131583,0.00504470,0.02924683,0.33197931,0.43848675,0.62716439
0,0,UnitedKingdomBritishVirginIslands,British Virgin Islands,,2021-11-24 00:54:02.725048,2020-03-10 00:00:00.000000,0.00250702,0.00945791,0.05249268,0,2,15,0,1,9,0.00147416,0.00507632,0.03093538,0.33184424,0.43848674,0.62660778
0,0,UnitedKingdomBritishVirginIslands,British Virgin Islands,,2021-11-24 00:54:02.725048,2020-03-11 00:00:00.000000,0.00274218,0.01019810,0.05572044,0,3,16,0,1,9,0.00161746,0.00544759,0.03279112,0.33152985,0.43848671,0.62555309
0,0,UnitedKingdomBritishVirginIslands,British Virgin Islands,,2021-11-24 00:54:02.725048,2020-03-12 00:00:00.000000,0.00300073,0.01084619,0.05913665,0,3,17,0,1,10,0.00177492,0.00611912,0.03478725,0.33149133,0.43848662,0.62356291
0,0,UnitedKingdomBritishVirginIslands,British Virgin Islands,,2021-11-24 00:54:02.725048,2020-03-13 00:00:00.000000,0.00328368,0.01167321,0.06272917,0,3,18,0,2,11,0.00194750,0.00676719,0.03691108,0.33103107,0.43848615,0.61983703
0,0,UnitedKingdomBritishVirginIslands,British Virgin Islands,,2021-11-24 00:54:02.725048,2020-03-14 00:00:00.000000,0.00351771,0.01266390,0.06647346,1,3,20,0,2,11,0.00213564,0.00729282,0.03915436,0.32897387,0.43827660,0.61296370
0,0,UnitedKingdomBritishVirginIslands,British Virgin Islands,,2021-11-24 00:54:02.725048,2020-03-15 00:00:00.000000,0.00365507,0.01372129,0.07032194,1,4,21,0,2,12,0.00234042,0.00784284,0.04150503,0.32247055,0.43234268,0.60062305
0,0,UnitedKingdomBritishVirginIslands,British Virgin Islands,,2021-11-24 00:54:02.725048,2020-03-16 00:00:00.000000,0.00736948,0.01908495,0.07739918,2,5,23,0,2,13,0.00254062,0.00855068,0.04394040,0.30916873,0.42492147,0.57951216
0,0,UnitedKingdomBritishVirginIslands,British Virgin Islands,,2021-11-24 00:54:02.725048,2020-03-17 00:00:00.000000,0.01072333,0.02385048,0.08436604,3,7,25,1,3,14,0.00382894,0.01149774,0.04759274,0.29728578,0.41859573,0.55877925
0,0,UnitedKingdomBritishVirginIslands,British Virgin Islands,,2021-11-24 00:54:02.725048,2020-03-18 00:00:00.000000,0.01359892,0.03044226,0.09096767,4,9,27,1,4,15,0.00607971,0.01420096,0.05179062,0.25855778,0.40360033,0.55746001
