FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,UnitedKingdomMontserrat,Montserrat,,2021-01-20 14:02:05.949291,2020-03-09 00:00:00.000000,0.05595954,0.25287167,0.66684554,2,12,33,0,5,13,0.00868480,0.10706796,0.26740700,0.44234913,0.58091045,0.79997052
0,0,UnitedKingdomMontserrat,Montserrat,,2021-01-20 14:02:05.949291,2020-03-10 00:00:00.000000,0.09025219,0.33151549,0.74446041,4,16,37,0,6,14,0.01814327,0.12548167,0.29531135,0.44234912,0.58091018,0.79997052
0,0,UnitedKingdomMontserrat,Montserrat,,2021-01-20 14:02:05.949291,2020-03-11 00:00:00.000000,0.12715680,0.43784880,0.87997131,6,21,43,1,7,16,0.03598950,0.15589741,0.32928189,0.44234911,0.58090956,0.79997051
0,0,UnitedKingdomMontserrat,Montserrat,,2021-01-20 14:02:05.949291,2020-03-12 00:00:00.000000,0.16668278,0.52083769,1.11805242,8,26,55,2,9,21,0.05324710,0.19870884,0.43469712,0.44234906,0.58090820,0.79997050
0,0,UnitedKingdomMontserrat,Montserrat,,2021-01-20 14:02:05.949291,2020-03-13 00:00:00.000000,0.20895049,0.61576706,1.32351669,10,30,66,3,12,24,0.07369598,0.24348444,0.49384448,0.44234893,0.58090516,0.79997048
0,0,UnitedKingdomMontserrat,Montserrat,,2021-01-20 14:02:05.949291,2020-03-14 00:00:00.000000,0.25413719,0.72853385,1.49775027,12,36,74,4,14,31,0.09700689,0.29744100,0.62363516,0.44070057,0.58076032,0.79997040
0,0,UnitedKingdomMontserrat,Montserrat,,2021-01-20 14:02:05.949291,2020-03-15 00:00:00.000000,0.29659283,0.83444638,1.76430505,14,41,88,6,17,37,0.12200894,0.35033417,0.74254893,0.43796244,0.57850517,0.79997011
0,0,UnitedKingdomMontserrat,Montserrat,,2021-01-20 14:02:05.949291,2020-03-16 00:00:00.000000,0.40305257,0.97429239,1.95650916,20,48,97,6,20,41,0.13945144,0.40981958,0.83830940,0.43422447,0.57830382,0.79996909
0,0,UnitedKingdomMontserrat,Montserrat,,2021-01-20 14:02:05.949291,2020-03-17 00:00:00.000000,0.51331383,1.16018346,2.23456575,25,57,111,8,23,47,0.17644510,0.47845535,0.95914135,0.42920708,0.57583641,0.79996551
0,0,UnitedKingdomMontserrat,Montserrat,,2021-01-20 14:02:05.949291,2020-03-18 00:00:00.000000,0.64530945,1.33400278,2.54190533,32,66,127,11,26,54,0.22466559,0.53925209,1.09889333,0.41432918,0.57251163,0.79995276
